Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330167598,1320670391,1379888268,1531843575,1665363128,1722798883,1873452514,1920262570,1941094972,2021301676,2228279330,2331005587,2421474860,2623726257,2791960894,2498932961,2467703911,2584463687,,,
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78617570.32,89406659.51,113414331.9,150841699.1,186557164,220112850.8,227284165.9,253998069.1,308020384.4,411548246.8,446377494.9,388983013.9,375914742.9,327849949,330073024.9,346742901.7,481996232.9,611300198.5,721426027.5,795489398,1028989439,1106890943,1209992604,1007090896,1017544619,1178745262,1224023470,1180646037,1211953954,1239840266,1133644295,1264760246,1456198796,1917948475,2322163502,2539759286,2823503853,3245411584,3712034267,,,,,,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.9,548888894.6,546666678,751111190.8,800000045.5,1006666638,1399999966,1673333419,1373333367,1408888923,1748886596,1831108972,1595555476,1733333265,2155555499,2366666615,2555555567,2953333419,3300000108,3697940345,3641723447,3478787910,,,,,,,,,,,,,,,,,,,,2461666315,4128818042,4583648922,5285461999,6275076016,7057597614,9843851009,10190534637,12486950468,15936784437,17870159082,20506795254,20309671015,
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,6804278063,6355849179,7383121654,7975234067,9283054576,10260193361,12193746625,5779394292,5285600050,4059352153,5039552482,7526446606,7648377413,6445041825,6152922943,9129594819,8936079253,12497346042,14188949240,19640862550,28233699334,41789493192,60448887583,84178084135,75492416523,82470894868,1.04116E+11,1.15342E+11,1.24178E+11,
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1924242453,1965384586,2173750013,2156624900,2126000000,2335124988,2101624963,1139166676,709452572.3,1228071038,1985673026,2424498953,3013217853,2196223714,2727745453,3434402453,3686649387,4091020249,4449373455,5652325082,7464446950,8376483394,9132558097,10701011524,12881353508,12044208086,11926957255,12890866743,12344529628,12923240278,
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,25666374895,28316305838,30910527984,35894922053,42761504413,54346011193,1.04172E+11,1.1556E+11,1.43926E+11,1.65859E+11,1.83388E+11,2.47383E+11,3.36534E+11,3.46361E+11,3.22732E+11,3.02612E+11,3.06654E+11,3.02696E+11,2.88018E+11,3.11558E+11,3.06163E+11,3.20902E+11,4.4386E+11,4.36806E+11,4.67834E+11,4.73299E+11,4.84261E+11,5.20049E+11,5.74468E+11,6.09294E+11,5.87495E+11,6.34119E+11,7.26013E+11,7.13007E+11,7.2401E+11,8.15539E+11,9.59405E+11,1.1761E+12,1.39982E+12,1.63867E+12,2.07957E+12,1.79175E+12,2.09788E+12,2.48791E+12,2.74438E+12,2.85308E+12,
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,14720672892,19213022856,24871774866,23775831263,31225462774,43598747467,49333424084,46622718557,42803323301,41807954192,40603650189,33943612060,36384908706,36275674166,41464995871,50701443696,51552165569,54239171831,55625170196,59305093918,65743666508,73571233920,78839008363,75674338445,84445475523,1.04337E+11,1.03312E+11,1.09816E+11,1.24346E+11,1.47824E+11,1.80617E+11,2.22106E+11,2.57916E+11,3.15475E+11,2.53547E+11,2.86049E+11,3.47454E+11,3.72314E+11,4.0234E+11,
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,24450604878,18272123664,25605249382,28344705968,28630474726,24256667555,26436857248,31256284545,31584210365,33293199095,34733000536,52544000117,72436777342,52438647922,51169499891,56781000101,58082870156,69252328953,76961923742,78676842366,84307486837,1.03979E+11,79092001998,88416668900,1.10934E+11,1.11106E+11,1.26207E+11,76636898036,1.41352E+11,1.8972E+11,2.28779E+11,2.36754E+11,2.5744E+11,2.58032E+11,2.7215E+11,2.92859E+11,2.98948E+11,2.83523E+11,2.84204E+11,2.68697E+11,1.0204E+11,1.29597E+11,1.83296E+11,2.22908E+11,2.6449E+11,3.29761E+11,4.06004E+11,3.78496E+11,4.62704E+11,5.57727E+11,6.03153E+11,6.09889E+11,
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858,2068526522,1272577522,1201313196,1315158670,1468317350,1596968913,1639492424,1893726437,1845482181,1911563665,2118467913,2376335048,2807061009,3576615240,4900436759,6384457744,9206301700,11662040714,8647936748,9260287416,10142342770,9958217880,10432169571,
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,66144443.28,74855554.23,92240739.11,110066664.7,124462960.8,137951849.4,153270367.7,173511108,201862959.4,245896292,286474069,338696290.3,373403697.1,391570363.5,410388881.6,423762955.5,456537029,500088880.1,494185176.5,541074064.5,579851841.6,620037026.1,651851840.3,783837838,773765171.5,802529319.2,839996355.5,898356132.3,997374093.5,1135143573,1289254311,1347349852,1206410370,1135539037,1129918370,1204713111,1200587519,
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18574308433,19651696719,19886885429,21500727965,23758539590,25930115354,27255011759,30383021615,32647552917,36612162616,41252099899,45127113899,51936915888,63700192184,88789977892,97098183804,1.04833E+11,1.10116E+11,1.18238E+11,1.34608E+11,1.49679E+11,1.76558E+11,1.93684E+11,1.76929E+11,1.93232E+11,1.80216E+11,1.82033E+11,1.89113E+11,2.35787E+11,2.99475E+11,3.10945E+11,3.25642E+11,3.25313E+11,3.12029E+11,3.22874E+11,3.68023E+11,4.0141E+11,4.35636E+11,3.99325E+11,3.88692E+11,4.14987E+11,3.78488E+11,3.94251E+11,4.66451E+11,6.12872E+11,6.93339E+11,7.47206E+11,8.53441E+11,1.05503E+12,9.26283E+11,1.14127E+12,1.38807E+12,1.53443E+12,1.56037E+12,
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6592693841,7311749633,7756110210,8374175258,9169983886,9994070616,10887682273,11579431669,12440625313,13582798556,15335972268,17815464919,22006470861,29444365310,35104529078,39962704274,42856485618,51421585630,61902774946,73759181884,81861232823,70863106877,71103585384,71947277233,67821568599,69219621907,98797587382,1.23869E+11,1.33018E+11,1.32785E+11,1.66062E+11,1.73376E+11,1.94608E+11,1.89921E+11,2.03045E+11,2.40458E+11,2.3672E+11,2.12323E+11,2.17684E+11,2.16725E+11,1.96422E+11,1.96954E+11,2.12971E+11,2.60721E+11,2.9987E+11,3.14641E+11,3.34292E+11,3.86439E+11,4.27627E+11,3.9757E+11,3.89656E+11,4.291E+11,4.07575E+11,4.28322E+11,
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8858006036,8792365811,4991350458,3973027397,3313739674,3052467522,3176749593,3962710163,4446396218,4581222442,5272617196,5707618247,6236024951,7275766111,8680511918,13245421881,20982270733,33050343783,48852482960,44291490421,52902703376,65951627200,68730906314,73560484385,
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,195999989.8,202999992.3,213500006.4,232749998.1,260750008.3,158994963,165444571.4,178297142.9,183200000,190205714.3,242732571.4,252842285.7,246804571.4,304339839.6,345263492.1,420986666.7,448412753.6,547535555.6,610225555.6,782496666.7,919726666.7,969046666.7,1013222222,1082926304,987143931.2,1149979286,1201725497,1131466494,1082403219,1113924130,1132101253,1167398478,1083037671,938632612.1,925030590.3,1000428394,869033856.3,972896267.9,893770806.1,808077223.4,870486065.9,876794723,825394484.4,784654423.6,915257323.4,1117254387,1273180655,1356078300,1611634286,1739781536,2026864414,2355652064,2472384864,2714507031,
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,11658722591,12400145222,13264015675,14260017387,15960106681,17371457608,18651883472,19992040788,21376353113,23710735895,26807913271,29935244717,37351139126,47925645622,56246494097,65928340353,71384738036,83155421722,1.01632E+11,1.16758E+11,1.27312E+11,1.05129E+11,92446696804,87516301460,83666987224,86596838576,1.20476E+11,1.49963E+11,1.62917E+11,1.64847E+11,2.06114E+11,2.11313E+11,2.35676E+11,2.25578E+11,2.45817E+11,2.89123E+11,2.80791E+11,2.54099E+11,2.59823E+11,2.59667E+11,2.37336E+11,2.37397E+11,2.5839E+11,3.18573E+11,3.70461E+11,3.86945E+11,4.10678E+11,4.72285E+11,5.20109E+11,4.85804E+11,4.84404E+11,5.28238E+11,4.98853E+11,5.24806E+11,
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,226195578.1,235668220.9,236434954.3,253927697.6,269819005.8,289908680.2,302925235.7,306221953.4,326323105.6,330748244.1,333627713.5,335073027.9,410331856.2,504376074.1,554654861.5,676870139.3,698408261.1,750049780.2,928843468.5,1186231018,1405251844,1291120191,1267778672,1095348199,1051134009,1045712790,1336102027,1562412226,1620246085,1502294414,1959965330,1986437798,1695315186,2274558079,1598075945,2169627138,2361116448,2268301645,2455092688,2488892429,2359122303,2499269391,2807657386,3557229702,4050869968,4358015993,4705087452,5511880906,6633463907,6584477485,6561782313,7289779658,7543183759,8307222087,
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,330442815.3,350247235,379567099.6,394040667.6,410321645,422916789.3,433889767.1,450753923.9,460442689.7,478298644.7,458404268.6,482411179.6,578595521.1,674773569.6,751133431.6,939972701.8,976547187.1,1131224880,1475583643,1748480618,1928719884,1775842337,1754450098,1600278605,1459880133,1552493197,2036303360,2369834946,2616040481,2615587730,3101300779,3135045586,2240264677,2332018011,1895290638,2379517976,2586550594,2447669100,2804902369,3014665572,2610959139,2812845486,3205592273,4205691122,4838551014,5462709055,5844669738,6755823933,8350710389,8348156389,9209288383,10395757480,10726305450,11582556068,
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4274893913,4817580184,5081413340,5319458351,5386054619,5906636557,6439687598,7253575399,7483685473,8471006101,8992721809,8751842840,6288245867,8067027098,12459282563,19395903921,10083163547,9632469658,13299358551,15585961413,18114645161,19762945710,18087000000,17155798869,19670160944,21613230769,21160234384,23781404932,25638749373,26825240347,30128776345,30957444767,31708863730,33166530061,33768661427,37939752959,40666015642,42318798537,44091754148,45694072379,47124925462,46987842847,47571130071,51913661485,56560744012,60277560976,71819088743,79611888213,91631278239,1.02478E+11,1.15279E+11,1.28638E+11,1.33356E+11,1.4999E+11,
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,20039627960,20056236992,19804095112,16959385509,17411159923,17562123350,20261212467,28429027976,23002458745,21746812560,20726301370,10943548724,10371900499,10831999517,9704877673,13069094969,10110256626,11195830237,14631307233,13659823835,13353530517,14303810795,16343311507,21101364345,25919754936,29300588273,33649638299,43634648380,53316401915,50161405417,48669060512,55765057234,52588115104,54479873100,
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,3072698346,3467819353,3645744806,3735106511,3905585155,3651861912,3052393636,3392021223,3702393659,3863564047,4229787379,4616223477,4751063992,5200266050,5567553552,5849468115,6101861656,6349202600,6183941092,6621186419,9063147901,8976446420,9632411109,11075116594,13150516509,15969151306,18505545360,21730577941,25711151182,22938462111,25713544825,29044378132,30756789966,32890110533,
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,169802257.8,190096176.6,212252822.2,237742768.5,266664053.7,300392162.5,340000006.4,390196085.7,444901969.1,528137264.8,538423167.5,573400000,590900000,670900000,632400000,596200000,642100000,713000000,832400000,1139800100,1335300000,1426500000,1578300000,1732800000,2041100000,2320699900,2472500000,2713999900,2817900000,3062000000,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,4961119000,5353524000,6019972000,6327552000,6516651000,6957996000,6949317000,7094413000,7706222000,7965588000,8318996000,8246650000,7820420000,7910000000,7931000000,8219000000,8420000000,
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255802465,1866572973,2786045392,3671816538,4116699576,4685729739,5505984456,5748990555,6651226179,8370020196,10022840635,10903779488,12550175101,15441062281,18711890354,17264893103,16847493059,18318439121,16906005781,17851326454,
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17369598958,17813389815,17022180272,16280372553,14931599418,13972637603,14756861538,14128412417,15222014828,12138485329,12736856485,12354820144,14594925393,17825436035,23141587718,30210091837,36961918859,45275711996,60763483146,49208656976,55220932614,59734593905,63615445567,71709513654,
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,28072504.98,29965035.39,31857563,33750090.61,36194610.8,40069931.54,44405596.03,47379308.79,44910180.79,47305390.44,53233534.3,59207317.59,66062499.02,78343558.51,103216372,118066302.1,96905828.77,117650000,136300000,151800000,194750000,192900000,179250000,189000000,210900000,209150000,227850000,276550016,314900000,363150016,413049984,444720726.5,518143678.5,559759653.3,580760211.3,620031771.9,641271333.4,654198121.1,688872472.7,732607993.8,831750000,871840755.4,932676403.2,990350000,1057850000,1114202700,1217442150,1290542550,1368625150,1336957250,1397113450,1487005600,1573867300,1624294250,
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,84466654.08,89249986.7,94149985.97,96366652.31,107566650.6,114339049,134173373.8,155102984.6,150000000,164900000,186300000,211100000,235400000,269500000,312600000,345000000,386300000,447000000,475800000,517200000,613299968,739100032,785500032,889400000,985699968,1039500032,1173500032,1296499968,1415100032,1501500032,1592400000,1634899968,1679900032,1820359936,1867160064,2030749952,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,5414299000,5895048000,6109928000,5806378000,5744414000,5550771000,5473536000,,
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,563110051.9,612518906.8,669722541.3,721142957.3,812543072.5,908874537,994044553.9,1084059815,908874537,964615698.7,1017171717,1095454545,1257615645,1263018491,2100249875,2404697651,2732083958,3227436282,3758220890,4421343606,4537487843,5891606676,5594118400,5422656262,6169481549,5377277407,3959379488,4347956299,4597615563,4715978868,4867582620,5343259389,5643864408,5734703452,5981218997,6715164551,7396952081,7925733786,8497499333,8285061618,8397858185,8141513292,7905485216,8082396526,8773451739,9549196256,11451845341,13120183157,16674324634,17339992165,19649631308,23948541156,27035110130,30601157742,
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,15165569913,15236854859,19926293839,23021477292,21211892260,21790035102,27062716511,30591834045,33875881906,37458898265,42327600116,49204456712,58539008796,79279057736,1.05136E+11,1.23709E+11,1.52678E+11,1.76171E+11,2.00801E+11,2.24969E+11,2.35025E+11,2.63561E+11,2.81682E+11,2.03305E+11,2.09024E+11,2.22943E+11,2.68137E+11,2.94084E+11,3.30397E+11,4.25595E+11,4.61952E+11,4.07338E+11,3.90567E+11,4.383E+11,5.46233E+11,7.68951E+11,8.39683E+11,8.712E+11,8.43827E+11,5.86863E+11,6.44702E+11,5.53582E+11,5.04221E+11,5.52469E+11,6.6376E+11,8.82186E+11,1.08892E+12,1.36682E+12,1.65351E+12,1.62019E+12,2.14307E+12,2.47669E+12,2.24878E+12,2.24567E+12,
